Machine_ID,Temperature_C,Vibration_mm_s,Pressure_bar,RPM,Current_A,Voltage_V,Operating_Hours,Load_Percentage,Maintenance_Count,Last_Maintenance_Days,Failure_History,Machine_Status
M00001,75.96,3.28,89.88,1513,7.41,417.75,5633,94.46,1,86,No,Normal
M00002,68.34,3.95,88.97,2114,10.83,413.2,7116,67.91,4,101,Yes,Normal
M00003,77.77,3.42,71.89,2418,8.04,441.65,4917,83.79,3,245,No,Normal
M00004,88.28,4.7,93.11,2897,8.71,457.92,7417,100,5,121,No,Fault
M00005,67.19,6.65,64.14,3466,10.15,434.23,6641,30.73,4,48,No,Normal
M00006,67.19,3.11,75.84,3251,8.36,443.32,8343,46.39,4,65,No,Normal
M00007,88.95,6.3,57.01,2033,4.32,408.91,3146,76.67,6,67,No,Normal
M00008,79.21,3.09,106.82,2558,10.89,418.51,1611,41.3,5,73,No,Normal
M00009,64.37,2.97,81.76,2850,11.39,456.6,4250,90.71,2,115,No,Normal
M00010,76.51,5.97,115.34,2630,4.29,429.75,4170,85.11,3,32,Yes,Normal
M00011,64.44,6.16,96.24,2625,6.1,408.22,5828,81.52,2,50,No,Normal
M00012,64.41,6.03,91.27,1680,13.15,415.91,8815,43.73,2,53,Yes,Normal
M00013,72.9,2.13,76.79,2051,9.03,444.04,11363,49.76,7,76,No,Normal
M00014,47.04,3.66,70.35,2538,8.51,446.53,8016,88.32,5,122,No,Normal
M00015,49.3,5.98,92.32,1000,7.52,391.42,7714,33.86,1,91,No,Normal
M00016,63.25,4.57,84,3216,6.13,425.15,6615,74.22,1,69,Yes,Normal
M00017,57.85,2.57,66.25,1908,8.05,414.78,4017,55.9,2,127,No,Normal
M00018,73.77,5.32,63.76,3246,10.74,413.16,7950,46.31,3,342,Yes,Fault
M00019,59.1,3.21,71.58,3189,8.46,452.25,5842,64.5,1,85,No,Normal
M00020,53.05,7.73,110.49,2447,9.9,408.35,12000,100,1,94,No,Fault
M00021,87.59,7.28,115.99,3450,12.56,398.88,7603,74.23,3,80,No,Fault
M00022,67.29,5.59,87.87,3283,7.16,392.18,5097,81.23,4,144,No,Normal
M00023,70.81,6.95,87.09,2599,9.2,410.11,2660,62.91,3,51,Yes,Normal
M00024,52.9,4.62,80.29,2526,10.81,394.41,5269,86.71,2,214,No,Normal
M00025,63.47,5.88,71.92,3513,6.35,390.79,8055,90.88,4,179,No,Normal
M00026,71.33,7.16,104.25,2951,8.91,390.08,10016,68.04,2,70,No,Fault
M00027,56.19,4.94,111.23,3479,12.81,391.74,5809,55.91,3,96,No,Normal
M00028,74.51,4.04,72.49,1247,7.72,393.7,7144,75.8,1,42,Yes,Normal
M00029,62.79,1.43,83.84,2864,10.96,426.17,3568,84.26,2,109,Yes,Normal
M00030,66.5,4.35,78.7,1775,8.18,360.12,9638,77.47,2,130,No,Normal
M00031,62.78,5.98,79.12,2783,12.64,395.35,10954,61,6,99,No,Fault
M00032,92.23,6.2,101.6,3264,4.72,412.2,971,80.81,1,177,Yes,Normal
M00033,69.84,5.41,66.63,3930,8.65,447.16,7325,63.97,4,52,No,Normal
M00034,57.31,3.53,91.53,2190,5.1,408.11,6038,94.81,4,194,No,Normal
M00035,79.87,0.94,95.2,2458,6.89,410.71,3847,69.15,3,102,Yes,Normal
M00036,55.35,3.61,83.01,2738,6.87,412.54,4871,40.57,3,109,No,Normal
M00037,72.51,3.95,97.5,2167,7.89,363.94,10400,82.72,0,49,No,Fault
M00038,46.48,3.94,87.07,3436,5.77,433.45,4574,73.37,2,26,No,Normal
M00039,54.06,5.61,102.04,2754,8.33,432.29,6072,63.9,3,105,No,Normal
M00040,72.36,8.07,63.69,2879,9.56,437.81,2967,67.41,2,69,Yes,Normal
M00041,78.86,4.72,80.12,3203,4.98,480,6873,44.99,2,167,No,Normal
M00042,72.06,4.11,83.99,2753,7.04,378.64,3691,51.72,3,104,Yes,Normal
M00043,68.61,4.03,47.59,2269,14.34,373.34,5267,57.04,1,39,No,Normal
M00044,66.39,4.72,69.8,2759,9.26,434.76,3705,81.12,0,65,No,Normal
M00045,52.26,3.01,73.61,2243,4.32,405.55,3401,78.94,4,31,No,Normal
M00046,61.36,4.72,98.27,2870,5.28,387.4,3704,44.98,3,122,Yes,Normal
M00047,64.47,5.31,75.1,3448,9.02,407.09,3589,64.34,1,244,No,Fault
M00048,82.69,4.88,73.55,2036,8.73,397.69,3673,70.9,2,59,Yes,Normal
M00049,74.12,5.32,96.44,1804,7.15,463.29,5759,83.38,4,10,No,Normal
M00050,48.84,5.28,62.35,2832,13.54,478.33,3336,23.08,3,134,Yes,Normal
M00051,73.89,1.31,56,2301,14.52,369.2,5325,42.62,3,146,No,Normal
M00052,65.38,5.65,79.94,2821,7.89,373.66,5651,55.94,3,279,No,Normal
M00053,61.88,3.29,64.73,3008,10.51,393.74,9933,23.81,4,229,Yes,Normal
M00054,77.34,2.53,65.26,1407,10.62,395.69,11278,91.24,2,42,No,Normal
M00055,82.37,2.51,93.03,3248,10.93,393.29,10177,72.81,4,126,No,Fault
M00056,81.18,5.28,97.26,2040,7.03,409.56,4526,80.75,1,280,No,Normal
M00057,59.93,4.1,96.04,2785,12.96,402.49,6752,57.01,5,226,No,Fault
M00058,66.29,1.47,100.52,2371,8.34,377.1,4767,72.98,4,121,No,Normal
M00059,73.98,5.36,102.38,2441,9.47,386.25,6271,72.69,2,140,No,Fault
M00060,81.71,1.91,55.2,3901,8.5,458.3,6140,61.29,4,67,No,Normal
M00061,64.25,4.75,91.31,3008,8.18,404.99,4894,86.9,1,206,No,Fault
M00062,67.77,4.93,77.59,3388,9.14,403.56,3067,76.5,4,121,No,Normal
M00063,56.72,6.09,74.54,2898,5.77,372.43,2877,71.81,1,254,Yes,Normal
M00064,55.65,7.71,92.85,3203,3.97,402.03,3727,63.45,2,71,Yes,Normal
M00065,79.75,2.04,60.78,3071,8.01,441.91,3319,55.22,5,133,Yes,Normal
M00066,86.27,4.41,60.48,2965,6.48,431.68,7601,68.8,6,11,Yes,Fault
M00067,69.14,4,93.87,3520,9.76,437.71,7959,75.87,2,68,Yes,Normal
M00068,82.04,5.28,91.83,2902,9.5,381.3,5065,66.75,4,40,No,Normal
M00069,74.34,4.89,86.91,4285,8.53,380.85,6664,94.21,5,74,No,Fault
M00070,62.26,3.87,72.68,3424,11.91,446.74,7528,61.21,4,87,Yes,Fault
M00071,74.34,3.71,95.41,2059,8.49,438.14,6274,81.11,4,110,No,Normal
M00072,88.46,2.49,94.52,2685,5.15,407.76,4530,46.26,1,141,No,Normal
M00073,69.57,6.28,86.19,3058,7.99,438.89,8133,57.18,2,90,No,Fault
M00074,88.78,5.33,68.52,2829,11.19,381.32,3303,42.51,1,68,No,Normal
M00075,38.56,6.15,79.05,3246,4.17,380.15,4593,58.73,1,190,No,Normal
M00076,79.86,3.94,96.73,3318,8.28,369.71,2273,91.01,5,60,No,Normal
M00077,71.04,3.32,103.58,1916,9.82,425.12,4178,48.64,4,84,No,Normal
M00078,66.41,2.56,80.43,3633,14.6,421.07,4896,94.8,2,48,No,Normal
M00079,71.1,5.15,81.5,2477,11.28,400.37,7556,61,4,139,No,Normal
M00080,46.15,2.63,82.74,2413,8.81,393.15,4141,47.52,6,54,No,Normal
M00081,67.36,7.83,88.85,2411,9.7,480,7754,66.81,2,265,No,Fault
M00082,74.29,2.15,76.87,3326,4.14,407.74,4403,65.57,7,155,Yes,Normal
M00083,87.73,4.99,45,2626,6.09,453.87,1952,69.36,3,107,No,Normal
M00084,63.78,7.32,101.7,2369,10,410.9,5164,42.95,1,41,No,Fault
M00085,60.3,5.58,110.13,2524,8.87,400.98,6614,66.47,1,154,No,Normal
M00086,63.98,4.82,76.43,1633,9.16,454.67,9121,40.77,3,60,Yes,Normal
M00087,80.98,2.76,70.07,2253,8.58,437.12,11378,59.76,4,99,Yes,Normal
M00088,73.95,2.01,83.08,1994,8.49,414.32,4780,54.69,6,48,No,Normal
M00089,63.64,5.89,82.37,2625,8.74,446.74,5536,52.49,6,216,No,Normal
M00090,76.16,7.21,98.94,3232,6.07,480,10124,81.51,5,193,Yes,Fault
M00091,71.16,3.71,85.76,3160,7.97,394.49,6898,92.67,1,187,Yes,Fault
M00092,81.62,2.45,73.9,3617,5.64,428.21,5961,73.29,6,50,No,Normal
M00093,61.58,0.5,66.54,3472,7.07,403.54,1856,49.78,1,83,No,Normal
M00094,66.07,2.73,97.12,2456,11.25,388.83,7726,65.06,2,139,No,Normal
M00095,65.29,4.3,93.39,2812,8.08,388.06,7382,89.32,1,32,Yes,Fault
M00096,52.44,7.38,99.85,2779,9.87,459.59,3399,79.95,1,69,Yes,Normal
M00097,73.55,5.71,71.45,1402,8.77,363.91,7109,100,3,107,Yes,Normal
M00098,73.13,5.05,110.74,2009,7.61,429.22,9502,43.61,3,82,No,Normal
M00099,70.06,3.78,60.59,2691,6.18,391.89,3986,50.52,1,73,No,Normal
M00100,67.18,3.45,94.93,2688,7.58,464.63,6537,82.51,3,71,Yes,Fault
M00101,53.02,7.03,58.27,3133,8.92,407.35,2377,72.09,4,63,No,Normal
M00102,64.95,4.86,73.94,3101,9.83,404.81,5064,49.81,1,81,No,Normal
M00103,65.89,0.72,106.85,1649,8.78,458.95,4012,55.02,4,141,No,Normal
M00104,60.37,3.29,96.64,3137,9.99,439.55,9564,71.39,5,219,No,Normal
M00105,68.06,2.96,77.35,2916,5,430.52,7464,72.98,3,71,No,Normal
M00106,74.85,3.52,77.74,3205,10.49,437.56,7716,77.1,1,45,No,Normal
M00107,92.63,5.51,86.41,3493,5.91,384.67,3775,100,3,139,Yes,Fault
M00108,72.09,4.31,92.2,2707,10.76,435.77,4379,100,2,170,No,Fault
M00109,73.09,4.36,102.52,3610,9.66,409.43,7460,49.57,4,214,No,Normal
M00110,69.11,6.86,78.61,2222,4.2,425.11,5140,78.81,7,98,No,Normal
M00111,46.97,3.25,62.44,2185,10.2,428.57,12000,58.36,2,104,Yes,Fault
M00112,69.68,7.86,87.2,3079,10.79,383.91,6624,95,1,119,No,Fault
M00113,70.72,3.29,78.6,2560,11.39,431.63,6141,59.14,2,64,No,Normal
M00114,99.56,4.66,66.79,2970,6.73,409.78,4038,46.5,4,225,No,Normal
M00115,67.69,3.99,89.17,4095,8.91,380.28,9287,87.12,2,156,No,Fault
M00116,73.62,4.72,82.02,3056,10.1,410.9,5239,91.97,1,61,Yes,Normal
M00117,69.58,5.3,89.29,2938,10.19,415.56,12000,53.5,5,126,No,Fault
M00118,55.98,5.28,72.48,2235,9.44,431.62,7267,86.51,3,89,No,Normal
M00119,83.71,3.14,91.81,1695,7.52,348.13,4383,49.45,4,100,No,Normal
M00120,79.02,2.48,66.56,2753,10.77,425.87,3661,56.04,2,73,No,Normal
M00121,79.49,9.01,73.41,3493,10.79,400.67,5592,33.9,2,124,No,Fault
M00122,59.09,3.63,81.6,2590,8.15,437.68,3982,84.5,5,156,No,Normal
M00123,86.83,5.76,109.39,3061,6.7,414.95,2183,74.68,2,66,Yes,Fault
M00124,53.18,1.61,95.99,3727,6.83,405.67,1388,59.94,1,73,No,Normal
M00125,77.04,4,100.08,3711,11.64,410.03,6494,61.98,4,115,No,Normal
M00126,96.29,4.27,104.84,3079,10.69,424.34,6296,71.26,1,82,No,Normal
M00127,58.11,5.35,125,2911,8.45,440.42,4909,70.72,1,41,No,Normal
M00128,63.2,0.5,85.58,1813,8.04,390.05,12000,76.28,3,82,No,Normal
M00129,71.2,4.8,104.89,2390,4.43,405.38,5962,48.86,6,62,Yes,Normal
M00130,63.96,2.43,99.18,2618,8.31,456.14,12000,79.35,3,19,No,Normal
M00131,51.39,5.08,98.94,2246,5.76,404.89,4856,69.07,2,130,No,Normal
M00132,70.82,2.63,109.84,2961,8.87,425.28,5458,41.09,4,243,No,Normal
M00133,57.25,2.96,79.13,4043,11.23,380.44,7488,100,3,11,Yes,Fault
M00134,75.68,4.01,78.02,3787,6.24,366.99,2694,50.3,4,133,Yes,Fault
